 Bjerke-Travbane;Tirsdag, 8. feb 2022
 Bjerke-Travbane;Søndag, 6. feb 2022
 Bjerke-Travbane; Tirsdag, 1. feb 2022
 Bjerke-Travbane;Onsdag, 26. jan 2022
 Bjerke-Travbane;Tirsdag, 25. jan 2022
 Bjerke-Travbane;Onsdag, 19. jan 2022
 Bjerke-Travbane; Tirsdag, 18. jan 2022
 Bjerke-Travbane;Lørdag, 15. jan 2022
 Bjerke-Travbane;Tirsdag, 11. jan 2022
 Bjerke-Travbane;Søndag, 9. jan 2022
 Bjerke-Travbane; Tirsdag, 4. jan 2022
 Bjerke-Travbane;Lørdag, 1. jan 2022
 Bjerke-Travbane;Torsdag, 30. des 2021
 Bjerke-Travbane;Søndag, 26. des 2021
 Bjerke-Travbane; Tirsdag, 21. des 2021
 Bjerke-Travbane;Lørdag, 18. des 2021
 Bjerke-Travbane;Tirsdag, 14. des 2021
 Bjerke-Travbane;Tirsdag, 7. des 2021
 Bjerke-Travbane; Tirsdag, 30. nov 2021
 Bjerke-Travbane;Onsdag, 24. nov 2021
 Bjerke-Travbane;Tirsdag, 23. nov 2021
 Bjerke-Travbane;Tirsdag, 16. nov 2021
 Bjerke-Travbane; Lørdag, 13. nov 2021
 Bjerke-Travbane;Tirsdag, 9. nov 2021
 Bjerke-Travbane;Tirsdag, 2. nov 2021
 Bjerke-Travbane;Tirsdag, 26. okt 2021
 Bjerke-Travbane; Tirsdag, 19. okt 2021
 Bjerke-Travbane;Onsdag, 13. okt 2021
 Bjerke-Travbane;Tirsdag, 12. okt 2021
 Bjerke-Travbane;Tirsdag, 5. okt 2021
 Bjerke-Travbane; Lørdag, 2. okt 2021
 Bjerke-Travbane;Tirsdag, 28. sept 2021
 Bjerke-Travbane;Tirsdag, 21. sept 2021
 Bjerke-Travbane;Søndag, 12. sept 2021
 Bjerke-Travbane; Lørdag, 11. sept 2021
 Bjerke-Travbane;Fredag, 10. sept 2021
 Bjerke-Travbane;Tirsdag, 7. sept 2021
 Bjerke-Travbane;Tirsdag, 31. aug 2021
 Bjerke-Travbane; Fredag, 27. aug 2021
 Bjerke-Travbane;Torsdag, 26. aug 2021
 Bjerke-Travbane;Onsdag, 25. aug 2021
 Bjerke-Travbane;Tirsdag, 17. aug 2021
 Bjerke-Travbane; Tirsdag, 10. aug 2021
 Bjerke-Travbane;Tirsdag, 3. aug 2021
 Bjerke-Travbane;Torsdag, 29. jul 2021
 Bjerke-Travbane;Mandag, 26. jul 2021
 Bjerke-Travbane; Tirsdag, 20. jul 2021
 Bjerke-Travbane;Mandag, 19. jul 2021
 Bjerke-Travbane;Tirsdag, 13. jul 2021
 Bjerke-Travbane;Mandag, 12. jul 2021
 Bjerke-Travbane; Onsdag, 23. jun 2021
 Bjerke-Travbane;Mandag, 21. jun 2021
 Bjerke-Travbane;Søndag, 13. jun 2021
 Bjerke-Travbane;Lørdag, 12. jun 2021
 Bjerke-Travbane; Tirsdag, 8. jun 2021
 Bjerke-Travbane;Tirsdag, 1. jun 2021
 Bjerke-Travbane;Tirsdag, 25. mai 2021
 Bjerke-Travbane;Tirsdag, 18. mai 2021
 Bjerke-Travbane; Onsdag, 12. mai 2021
 Bjerke-Travbane;Tirsdag, 11. mai 2021
 Bjerke-Travbane;Tirsdag, 2. mar 2021
 Bjerke-Travbane;Lørdag, 27. feb 2021
 Bjerke-Travbane; Tirsdag, 23. feb 2021
 Bjerke-Travbane;Søndag, 21. feb 2021
 Bjerke-Travbane;Lørdag, 20. feb 2021
 Bjerke-Travbane;Onsdag, 17. feb 2021
 Bjerke-Travbane; Tirsdag, 16. feb 2021
 Bjerke-Travbane;Onsdag, 10. feb 2021
 Bjerke-Travbane;Tirsdag, 9. feb 2021
 Bjerke-Travbane;Onsdag, 27. jan 2021
 Bjerke-Travbane; Tirsdag, 26. jan 2021
 Bjerke-Travbane;Lørdag, 23. jan 2021
 Bjerke-Travbane;Onsdag, 20. jan 2021
 Bjerke-Travbane;Tirsdag, 19. jan 2021
 Bjerke-Travbane; Onsdag, 13. jan 2021
 Bjerke-Travbane;Tirsdag, 12. jan 2021
 Bjerke-Travbane;Onsdag, 6. jan 2021
 Bjerke-Travbane;Tirsdag, 5. jan 2021
 Bjerke-Travbane; Torsdag, 31. des 2020
 Bjerke-Travbane;Onsdag, 30. des 2020
 Bjerke-Travbane;Tirsdag, 22. des 2020
 Bjerke-Travbane;Lørdag, 19. des 2020
 Bjerke-Travbane; Tirsdag, 15. des 2020
 Bjerke-Travbane;Torsdag, 10. des 2020
 Bjerke-Travbane;Tirsdag, 8. des 2020
 Bjerke-Travbane;Tirsdag, 1. des 2020
 Bjerke-Travbane; Tirsdag, 24. nov 2020
 Bjerke-Travbane;Tirsdag, 17. nov 2020
 Bjerke-Travbane;Lørdag, 14. nov 2020
 Bjerke-Travbane;Onsdag, 11. nov 2020
 Bjerke-Travbane; Onsdag, 4. nov 2020
 Bjerke-Travbane;Onsdag, 28. okt 2020
 Bjerke-Travbane;Onsdag, 21. okt 2020
 Bjerke-Travbane;Onsdag, 14. okt 2020
 Bjerke-Travbane; Onsdag, 7. okt 2020
 Bjerke-Travbane;Onsdag, 30. sept 2020
 Bjerke-Travbane;Onsdag, 23. sept 2020
 Bjerke-Travbane;Onsdag, 16. sept 2020
 Bjerke-Travbane; Søndag, 13. sept 2020
 Bjerke-Travbane;Lørdag, 12. sept 2020
 Bjerke-Travbane;Fredag, 11. sept 2020
 Bjerke-Travbane;Onsdag, 9. sept 2020
 Bjerke-Travbane; Onsdag, 2. sept 2020
 Bjerke-Travbane;Fredag, 28. aug 2020
 Bjerke-Travbane;Torsdag, 27. aug 2020
 Bjerke-Travbane;Onsdag, 26. aug 2020
 Bjerke-Travbane; Lørdag, 22. aug 2020
 Bjerke-Travbane;Tirsdag, 18. aug 2020
 Bjerke-Travbane;Onsdag, 12. aug 2020
 Bjerke-Travbane;Tirsdag, 11. aug 2020
 Bjerke-Travbane; Mandag, 10. aug 2020
 Bjerke-Travbane;Onsdag, 5. aug 2020
 Bjerke-Travbane;Mandag, 3. aug 2020
 Bjerke-Travbane;Onsdag, 29. jul 2020
 Bjerke-Travbane; Mandag, 27. jul 2020
 Bjerke-Travbane;Onsdag, 22. jul 2020
 Bjerke-Travbane;Mandag, 20. jul 2020
 Bjerke-Travbane;Onsdag, 15. jul 2020
 Bjerke-Travbane; Onsdag, 8. jul 2020
 Bjerke-Travbane;Mandag, 6. jul 2020
 Bjerke-Travbane;Søndag, 14. jun 2020
 Bjerke-Travbane;Lørdag, 13. jun 2020
 Bjerke-Travbane; Onsdag, 10. jun 2020
 Bjerke-Travbane;Mandag, 8. jun 2020
 Bjerke-Travbane;Onsdag, 3. jun 2020
 Bjerke-Travbane;Lørdag, 30. mai 2020
 Bjerke-Travbane; Onsdag, 27. mai 2020
 Bjerke-Travbane;Lørdag, 23. mai 2020
 Bjerke-Travbane;Onsdag, 20. mai 2020
 Bjerke-Travbane;Onsdag, 13. mai 2020
 Bjerke-Travbane; Mandag, 11. mai 2020
 Bjerke-Travbane;Onsdag, 6. mai 2020
 Bjerke-Travbane;Onsdag, 22. apr 2020
 Bjerke-Travbane;Torsdag, 19. mar 2020
 Bjerke-Travbane; Onsdag, 18. mar 2020
 Bjerke-Travbane;Onsdag, 11. mar 2020
 Bjerke-Travbane;Torsdag, 5. mar 2020
 Bjerke-Travbane;Onsdag, 4. mar 2020
 Bjerke-Travbane; Onsdag, 26. feb 2020
 Bjerke-Travbane;Lørdag, 22. feb 2020
 Bjerke-Travbane;Onsdag, 19. feb 2020
 Bjerke-Travbane;Søndag, 16. feb 2020
 Bjerke-Travbane; Torsdag, 13. feb 2020
 Bjerke-Travbane;Onsdag, 12. feb 2020
 Bjerke-Travbane;Søndag, 9. feb 2020
 Bjerke-Travbane;Torsdag, 6. feb 2020
 Bjerke-Travbane; Onsdag, 5. feb 2020
 Bjerke-Travbane;Onsdag, 29. jan 2020
 Bjerke-Travbane;Torsdag, 23. jan 2020
 Bjerke-Travbane;Onsdag, 22. jan 2020
 Bjerke-Travbane; Lørdag, 18. jan 2020
 Bjerke-Travbane;Onsdag, 15. jan 2020
 Bjerke-Travbane;Onsdag, 8. jan 2020
 Bjerke-Travbane;Torsdag, 2. jan 2020
 Bjerke-Travbane; Onsdag, 1. jan 2020
 Bjerke-Travbane;Mandag, 30. des 2019
 Bjerke-Travbane;Torsdag, 26. des 2019
 Bjerke-Travbane;Torsdag, 19. des 2019
 Bjerke-Travbane; Onsdag, 18. des 2019
 Bjerke-Travbane;Lørdag, 14. des 2019
 Bjerke-Travbane;Onsdag, 11. des 2019
 Bjerke-Travbane;Onsdag, 4. des 2019
 Bjerke-Travbane; Onsdag, 27. nov 2019
 Bjerke-Travbane;Onsdag, 20. nov 2019
 Bjerke-Travbane;Lørdag, 16. nov 2019
 Bjerke-Travbane;Onsdag, 13. nov 2019
 Bjerke-Travbane; Onsdag, 6. nov 2019
 Bjerke-Travbane;Onsdag, 30. okt 2019
 Bjerke-Travbane;Onsdag, 23. okt 2019
 Bjerke-Travbane;Onsdag, 16. okt 2019
 Bjerke-Travbane; Onsdag, 9. okt 2019
 Bjerke-Travbane;Onsdag, 2. okt 2019
 Bjerke-Travbane;Onsdag, 25. sept 2019
 Bjerke-Travbane;Torsdag, 19. sept 2019
 Bjerke-Travbane; Onsdag, 18. sept 2019
 Bjerke-Travbane;Onsdag, 11. sept 2019
 Bjerke-Travbane;Søndag, 8. sept 2019
 Bjerke-Travbane;Lørdag, 7. sept 2019
 Bjerke-Travbane; Fredag, 6. sept 2019
 Bjerke-Travbane;Onsdag, 4. sept 2019
 Bjerke-Travbane;Onsdag, 28. aug 2019
 Bjerke-Travbane;Tirsdag, 27. aug 2019
 Bjerke-Travbane; Mandag, 26. aug 2019
 Bjerke-Travbane;Torsdag, 22. aug 2019
 Bjerke-Travbane;Tirsdag, 13. aug 2019
 Bjerke-Travbane;Onsdag, 7. aug 2019
 Bjerke-Travbane; Mandag, 5. aug 2019
 Bjerke-Travbane;Onsdag, 31. jul 2019
 Bjerke-Travbane;Mandag, 29. jul 2019
 Bjerke-Travbane;Onsdag, 24. jul 2019
 Bjerke-Travbane; Mandag, 22. jul 2019
 Bjerke-Travbane;Onsdag, 17. jul 2019
 Bjerke-Travbane;Mandag, 15. jul 2019
 Bjerke-Travbane;Onsdag, 10. jul 2019
 Bjerke-Travbane; Mandag, 8. jul 2019
 Bjerke-Travbane;Onsdag, 26. jun 2019
 Bjerke-Travbane;Mandag, 24. jun 2019
 Bjerke-Travbane;Onsdag, 19. jun 2019
 Bjerke-Travbane; Mandag, 17. jun 2019
 Bjerke-Travbane;Søndag, 9. jun 2019
 Bjerke-Travbane;Lørdag, 8. jun 2019
 Bjerke-Travbane;Onsdag, 5. jun 2019
 Bjerke-Travbane; Mandag, 3. jun 2019
 Bjerke-Travbane;Onsdag, 29. mai 2019
 Bjerke-Travbane;Mandag, 27. mai 2019
 Bjerke-Travbane;Torsdag, 23. mai 2019
 Bjerke-Travbane; Onsdag, 22. mai 2019
 Bjerke-Travbane;Mandag, 20. mai 2019
 Bjerke-Travbane;Onsdag, 15. mai 2019
 Bjerke-Travbane;Lørdag, 11. mai 2019
 Bjerke-Travbane; Onsdag, 8. mai 2019
 Bjerke-Travbane;Mandag, 6. mai 2019
 Bjerke-Travbane;Tirsdag, 30. apr 2019
 Bjerke-Travbane;Mandag, 29. apr 2019
 Bjerke-Travbane; Torsdag, 25. apr 2019
 Bjerke-Travbane;Onsdag, 24. apr 2019
 Bjerke-Travbane;Onsdag, 17. apr 2019
 Bjerke-Travbane;Mandag, 15. apr 2019
 Bjerke-Travbane; Onsdag, 10. apr 2019
 Bjerke-Travbane;Lørdag, 6. apr 2019
 Bjerke-Travbane;Onsdag, 3. apr 2019
 Bjerke-Travbane;Mandag, 1. apr 2019
 Bjerke-Travbane; Onsdag, 27. mar 2019
 Bjerke-Travbane;Torsdag, 21. mar 2019
 Bjerke-Travbane;Onsdag, 20. mar 2019
 Bjerke-Travbane;Torsdag, 14. mar 2019
 Bjerke-Travbane; Onsdag, 13. mar 2019
 Bjerke-Travbane;Torsdag, 7. mar 2019
 Bjerke-Travbane;Onsdag, 6. mar 2019
 Bjerke-Travbane;Torsdag, 28. feb 2019
 Bjerke-Travbane; Onsdag, 27. feb 2019
 Bjerke-Travbane;Lørdag, 23. feb 2019
 Bjerke-Travbane;Onsdag, 20. feb 2019
 Bjerke-Travbane;Torsdag, 14. feb 2019
 Bjerke-Travbane; Onsdag, 13. feb 2019
 Bjerke-Travbane;Fredag, 8. feb 2019
 Bjerke-Travbane;Torsdag, 7. feb 2019
 Bjerke-Travbane;Onsdag, 6. feb 2019
 Bjerke-Travbane; Torsdag, 31. jan 2019
 Bjerke-Travbane;Onsdag, 30. jan 2019
 Bjerke-Travbane;Torsdag, 24. jan 2019
 Bjerke-Travbane;Onsdag, 23. jan 2019
 Bjerke-Travbane; Lørdag, 19. jan 2019
 Bjerke-Travbane;Onsdag, 16. jan 2019
 Bjerke-Travbane;Torsdag, 10. jan 2019
 Bjerke-Travbane;Onsdag, 9. jan 2019
 Bjerke-Travbane; Torsdag, 3. jan 2019
 Bjerke-Travbane;Onsdag, 2. jan 2019
 Bjerke-Travbane;Mandag, 31. des 2018
 Bjerke-Travbane;Søndag, 30. des 2018
 Bjerke-Travbane; Onsdag, 26. des 2018
 Bjerke-Travbane;Onsdag, 19. des 2018
 Bjerke-Travbane;Lørdag, 15. des 2018
 Bjerke-Travbane;Onsdag, 12. des 2018
 Bjerke-Travbane; Torsdag, 6. des 2018
 Bjerke-Travbane;Onsdag, 5. des 2018
 Bjerke-Travbane;Onsdag, 28. nov 2018
 Bjerke-Travbane;Tirsdag, 27. nov 2018
 Bjerke-Travbane; Torsdag, 22. nov 2018
 Bjerke-Travbane;Onsdag, 21. nov 2018
 Bjerke-Travbane;Tirsdag, 20. nov 2018
 Bjerke-Travbane;Lørdag, 17. nov 2018
 Bjerke-Travbane; Onsdag, 14. nov 2018
 Bjerke-Travbane;Tirsdag, 13. nov 2018
 Bjerke-Travbane;Onsdag, 7. nov 2018
 Bjerke-Travbane;Tirsdag, 6. nov 2018
 Bjerke-Travbane; Onsdag, 31. okt 2018
 Bjerke-Travbane;Onsdag, 24. okt 2018
 Bjerke-Travbane;Tirsdag, 23. okt 2018
 Bjerke-Travbane;Onsdag, 17. okt 2018
 Bjerke-Travbane; Mandag, 15. okt 2018
 Bjerke-Travbane;Onsdag, 10. okt 2018
 Bjerke-Travbane;Tirsdag, 9. okt 2018
 Bjerke-Travbane;Onsdag, 3. okt 2018
 Bjerke-Travbane; Tirsdag, 2. okt 2018
 Bjerke-Travbane;Onsdag, 26. sept 2018
 Bjerke-Travbane;Tirsdag, 25. sept 2018
 Bjerke-Travbane;Torsdag, 20. sept 2018
 Bjerke-Travbane; Onsdag, 19. sept 2018
 Bjerke-Travbane;Tirsdag, 18. sept 2018
 Bjerke-Travbane;Onsdag, 12. sept 2018
 Bjerke-Travbane;Søndag, 9. sept 2018
 Bjerke-Travbane; Lørdag, 8. sept 2018
 Bjerke-Travbane;Fredag, 7. sept 2018
 Bjerke-Travbane;Onsdag, 5. sept 2018
 Bjerke-Travbane;Mandag, 3. sept 2018
 Bjerke-Travbane; Onsdag, 29. aug 2018
 Bjerke-Travbane;Tirsdag, 28. aug 2018
 Bjerke-Travbane;Mandag, 27. aug 2018
 Bjerke-Travbane;Torsdag, 23. aug 2018
 Bjerke-Travbane; Mandag, 20. aug 2018
 Bjerke-Travbane;Onsdag, 15. aug 2018
 Bjerke-Travbane;Mandag, 13. aug 2018
 Bjerke-Travbane;Torsdag, 9. aug 2018
 Bjerke-Travbane; Onsdag, 8. aug 2018
 Bjerke-Travbane;Mandag, 6. aug 2018
 Bjerke-Travbane;Lørdag, 4. aug 2018
 Bjerke-Travbane;Onsdag, 1. aug 2018
 Bjerke-Travbane; Mandag, 30. jul 2018
 Bjerke-Travbane;Onsdag, 25. jul 2018
 Bjerke-Travbane;Mandag, 23. jul 2018
 Bjerke-Travbane;Onsdag, 18. jul 2018
 Bjerke-Travbane; Mandag, 16. jul 2018
 Bjerke-Travbane;Mandag, 2. jul 2018
 Bjerke-Travbane;Onsdag, 27. jun 2018
 Bjerke-Travbane;Mandag, 25. jun 2018
 Bjerke-Travbane; Onsdag, 20. jun 2018
 Bjerke-Travbane;Mandag, 18. jun 2018
 Bjerke-Travbane;Søndag, 10. jun 2018
 Bjerke-Travbane;Lørdag, 9. jun 2018
 Bjerke-Travbane; Onsdag, 6. jun 2018
 Bjerke-Travbane;Mandag, 4. jun 2018
 Bjerke-Travbane;Onsdag, 30. mai 2018
 Bjerke-Travbane;Mandag, 28. mai 2018
 Bjerke-Travbane; Onsdag, 23. mai 2018
 Bjerke-Travbane;Onsdag, 16. mai 2018
 Bjerke-Travbane;Mandag, 14. mai 2018
 Bjerke-Travbane;Lørdag, 12. mai 2018
 Bjerke-Travbane; Onsdag, 9. mai 2018
 Bjerke-Travbane;Mandag, 7. mai 2018
 Bjerke-Travbane;Torsdag, 3. mai 2018
 Bjerke-Travbane;Onsdag, 2. mai 2018
 Bjerke-Travbane; Torsdag, 26. apr 2018
 Bjerke-Travbane;Onsdag, 25. apr 2018
 Bjerke-Travbane;Onsdag, 18. apr 2018
 Bjerke-Travbane;Lørdag, 14. apr 2018
 Bjerke-Travbane; Onsdag, 11. apr 2018
 Bjerke-Travbane;Onsdag, 4. apr 2018
 Bjerke-Travbane;Onsdag, 28. mar 2018
 Bjerke-Travbane;Torsdag, 22. mar 2018
 Bjerke-Travbane; Onsdag, 21. mar 2018
 Bjerke-Travbane;Torsdag, 15. mar 2018
 Bjerke-Travbane;Onsdag, 14. mar 2018
 Bjerke-Travbane;Torsdag, 8. mar 2018
 Bjerke-Travbane; Onsdag, 7. mar 2018
 Bjerke-Travbane;Torsdag, 1. mar 2018
 Bjerke-Travbane;Onsdag, 28. feb 2018
 Bjerke-Travbane;Lørdag, 24. feb 2018
 Bjerke-Travbane; Onsdag, 21. feb 2018
 Bjerke-Travbane;Torsdag, 15. feb 2018
 Bjerke-Travbane;Onsdag, 14. feb 2018
 Bjerke-Travbane;Fredag, 9. feb 2018
 Bjerke-Travbane; Torsdag, 8. feb 2018
 Bjerke-Travbane;Onsdag, 7. feb 2018
 Bjerke-Travbane;Torsdag, 1. feb 2018
 Bjerke-Travbane;Onsdag, 31. jan 2018
 Bjerke-Travbane; Torsdag, 25. jan 2018
 Bjerke-Travbane;Onsdag, 24. jan 2018
 Bjerke-Travbane;Lørdag, 20. jan 2018
 Bjerke-Travbane;Onsdag, 17. jan 2018
 Bjerke-Travbane; Torsdag, 11. jan 2018
 Bjerke-Travbane;Onsdag, 10. jan 2018
 Bjerke-Travbane;Torsdag, 4. jan 2018
 Bjerke-Travbane;Onsdag, 3. jan 2018
 Bjerke-Travbane; Søndag, 31. des 2017
 Bjerke-Travbane;Torsdag, 28. des 2017
 Bjerke-Travbane;Onsdag, 27. des 2017
 Bjerke-Travbane;Torsdag, 21. des 2017
 Bjerke-Travbane; Onsdag, 20. des 2017
 Bjerke-Travbane;Lørdag, 16. des 2017
 Bjerke-Travbane;Torsdag, 14. des 2017
 Bjerke-Travbane;Onsdag, 13. des 2017
 Bjerke-Travbane; Torsdag, 7. des 2017
 Bjerke-Travbane;Onsdag, 6. des 2017
 Bjerke-Travbane;Torsdag, 30. nov 2017
 Bjerke-Travbane;Onsdag, 29. nov 2017
 Bjerke-Travbane; Torsdag, 23. nov 2017
 Bjerke-Travbane;Onsdag, 22. nov 2017
 Bjerke-Travbane;Mandag, 20. nov 2017
 Bjerke-Travbane;Lørdag, 18. nov 2017
 Bjerke-Travbane; Torsdag, 16. nov 2017
 Bjerke-Travbane;Onsdag, 15. nov 2017
 Bjerke-Travbane;Mandag, 13. nov 2017
 Bjerke-Travbane;Onsdag, 8. nov 2017
 Bjerke-Travbane; Mandag, 6. nov 2017
 Bjerke-Travbane;Onsdag, 1. nov 2017
 Bjerke-Travbane;Mandag, 30. okt 2017
 Bjerke-Travbane;Onsdag, 25. okt 2017
 Bjerke-Travbane; Mandag, 23. okt 2017
 Bjerke-Travbane;Onsdag, 18. okt 2017
 Bjerke-Travbane;Mandag, 16. okt 2017
 Bjerke-Travbane;Onsdag, 11. okt 2017
 Bjerke-Travbane; Mandag, 9. okt 2017
 Bjerke-Travbane;Lørdag, 7. okt 2017
 Bjerke-Travbane;Onsdag, 4. okt 2017
 Bjerke-Travbane;Mandag, 2. okt 2017
 Bjerke-Travbane; Onsdag, 27. sept 2017
 Bjerke-Travbane;Mandag, 25. sept 2017
 Bjerke-Travbane;Onsdag, 20. sept 2017
 Bjerke-Travbane;Mandag, 18. sept 2017
 Bjerke-Travbane; Onsdag, 13. sept 2017
 Bjerke-Travbane;Mandag, 11. sept 2017
 Bjerke-Travbane;Søndag, 10. sept 2017
 Bjerke-Travbane;Lørdag, 9. sept 2017
 Bjerke-Travbane; Fredag, 8. sept 2017
 Bjerke-Travbane;Onsdag, 6. sept 2017
 Bjerke-Travbane;Mandag, 4. sept 2017
 Bjerke-Travbane;Onsdag, 30. aug 2017
 Bjerke-Travbane; Tirsdag, 29. aug 2017
 Bjerke-Travbane;Mandag, 28. aug 2017
 Bjerke-Travbane;Onsdag, 23. aug 2017
 Bjerke-Travbane;Mandag, 21. aug 2017
 Bjerke-Travbane; Onsdag, 16. aug 2017
 Bjerke-Travbane;Mandag, 14. aug 2017
 Bjerke-Travbane;Torsdag, 10. aug 2017
 Bjerke-Travbane;Onsdag, 9. aug 2017
 Bjerke-Travbane; Mandag, 7. aug 2017
 Bjerke-Travbane;Onsdag, 2. aug 2017
 Bjerke-Travbane;Mandag, 31. jul 2017
 Bjerke-Travbane;Onsdag, 26. jul 2017
 Bjerke-Travbane; Mandag, 24. jul 2017
 Bjerke-Travbane;Torsdag, 20. jul 2017
 Bjerke-Travbane;Onsdag, 19. jul 2017
 Bjerke-Travbane;Mandag, 17. jul 2017
 Bjerke-Travbane; Onsdag, 12. jul 2017
 Bjerke-Travbane;Mandag, 10. jul 2017
 Bjerke-Travbane;Mandag, 3. jul 2017
 Bjerke-Travbane;Torsdag, 29. jun 2017
 Bjerke-Travbane; Onsdag, 28. jun 2017
 Bjerke-Travbane;Mandag, 26. jun 2017
 Bjerke-Travbane;Onsdag, 21. jun 2017
 Bjerke-Travbane;Søndag, 11. jun 2017
 Bjerke-Travbane; Lørdag, 10. jun 2017
 Bjerke-Travbane;Onsdag, 7. jun 2017
 Bjerke-Travbane;Tirsdag, 6. jun 2017
 Bjerke-Travbane;Onsdag, 31. mai 2017
 Bjerke-Travbane; Mandag, 29. mai 2017
 Bjerke-Travbane;Onsdag, 24. mai 2017
 Bjerke-Travbane;Mandag, 22. mai 2017
 Bjerke-Travbane;Tirsdag, 16. mai 2017
 Bjerke-Travbane; Mandag, 15. mai 2017
 Bjerke-Travbane;Onsdag, 10. mai 2017
 Bjerke-Travbane;Mandag, 8. mai 2017
 Bjerke-Travbane;Onsdag, 3. mai 2017
 Bjerke-Travbane; Onsdag, 26. apr 2017
 Bjerke-Travbane;Mandag, 24. apr 2017
 Bjerke-Travbane;Lørdag, 22. apr 2017
 Bjerke-Travbane;Onsdag, 19. apr 2017
 Bjerke-Travbane; Onsdag, 12. apr 2017
 Bjerke-Travbane;Tirsdag, 11. apr 2017
 Bjerke-Travbane;Onsdag, 5. apr 2017
 Bjerke-Travbane;Mandag, 3. apr 2017
 Bjerke-Travbane; Lørdag, 1. apr 2017
 Bjerke-Travbane;Onsdag, 29. mar 2017
 Bjerke-Travbane;Mandag, 27. mar 2017
 Bjerke-Travbane;Torsdag, 23. mar 2017
 Bjerke-Travbane; Onsdag, 22. mar 2017
 Bjerke-Travbane;Torsdag, 16. mar 2017
 Bjerke-Travbane;Onsdag, 15. mar 2017
 Bjerke-Travbane;Torsdag, 9. mar 2017
 Bjerke-Travbane; Onsdag, 8. mar 2017
 Bjerke-Travbane;Onsdag, 1. mar 2017
 Bjerke-Travbane;Lørdag, 25. feb 2017
 Bjerke-Travbane;Torsdag, 23. feb 2017
 Bjerke-Travbane; Onsdag, 22. feb 2017
 Bjerke-Travbane;Torsdag, 16. feb 2017
 Bjerke-Travbane;Onsdag, 15. feb 2017
 Bjerke-Travbane;Torsdag, 9. feb 2017
 Bjerke-Travbane; Onsdag, 8. feb 2017
 Bjerke-Travbane;Torsdag, 2. feb 2017
 Bjerke-Travbane;Onsdag, 1. feb 2017
 Bjerke-Travbane;Onsdag, 25. jan 2017
 Bjerke-Travbane; Lørdag, 21. jan 2017
 Bjerke-Travbane;Onsdag, 18. jan 2017
 Bjerke-Travbane;Torsdag, 12. jan 2017
 Bjerke-Travbane;Onsdag, 11. jan 2017
 Bjerke-Travbane; Onsdag, 4. jan 2017
 Bjerke-Travbane;Lørdag, 31. des 2016
 Bjerke-Travbane;Fredag, 30. des 2016
 Bjerke-Travbane;Onsdag, 28. des 2016
 Bjerke-Travbane; Torsdag, 22. des 2016
 Bjerke-Travbane;Onsdag, 21. des 2016
 Bjerke-Travbane;Lørdag, 17. des 2016
 Bjerke-Travbane;Torsdag, 15. des 2016
 Bjerke-Travbane; Onsdag, 14. des 2016
 Bjerke-Travbane;Torsdag, 8. des 2016
 Bjerke-Travbane;Onsdag, 7. des 2016
 Bjerke-Travbane;Tirsdag, 6. des 2016
 Bjerke-Travbane; Torsdag, 1. des 2016
 Bjerke-Travbane;Onsdag, 30. nov 2016
 Bjerke-Travbane;Torsdag, 24. nov 2016
 Bjerke-Travbane;Onsdag, 23. nov 2016
 Bjerke-Travbane; Lørdag, 19. nov 2016
 Bjerke-Travbane;Torsdag, 17. nov 2016
 Bjerke-Travbane;Onsdag, 16. nov 2016
 Bjerke-Travbane;Torsdag, 10. nov 2016
 Bjerke-Travbane; Onsdag, 9. nov 2016
 Bjerke-Travbane;Torsdag, 3. nov 2016
 Bjerke-Travbane;Onsdag, 2. nov 2016
 Bjerke-Travbane;Onsdag, 26. okt 2016
 Bjerke-Travbane; Mandag, 24. okt 2016
 Bjerke-Travbane;Lørdag, 22. okt 2016
 Bjerke-Travbane;Onsdag, 19. okt 2016
 Bjerke-Travbane;Mandag, 17. okt 2016
 Bjerke-Travbane; Torsdag, 13. okt 2016
 Bjerke-Travbane;Onsdag, 12. okt 2016
 Bjerke-Travbane;Torsdag, 6. okt 2016
 Bjerke-Travbane;Onsdag, 5. okt 2016
 Bjerke-Travbane; Torsdag, 29. sept 2016
 Bjerke-Travbane;Onsdag, 28. sept 2016
 Bjerke-Travbane;Onsdag, 21. sept 2016
 Bjerke-Travbane;Tirsdag, 20. sept 2016
 Bjerke-Travbane; Søndag, 18. sept 2016
 Bjerke-Travbane;Lørdag, 17. sept 2016
 Bjerke-Travbane;Fredag, 16. sept 2016
 Bjerke-Travbane;Onsdag, 14. sept 2016
 Bjerke-Travbane; Mandag, 12. sept 2016
 Bjerke-Travbane;Torsdag, 8. sept 2016
 Bjerke-Travbane;Onsdag, 7. sept 2016
 Bjerke-Travbane;Tirsdag, 6. sept 2016
 Bjerke-Travbane; Mandag, 5. sept 2016
 Bjerke-Travbane;Torsdag, 1. sept 2016
 Bjerke-Travbane;Onsdag, 31. aug 2016
 Bjerke-Travbane;Torsdag, 25. aug 2016
 Bjerke-Travbane; Onsdag, 24. aug 2016
 Bjerke-Travbane;Torsdag, 18. aug 2016
 Bjerke-Travbane;Onsdag, 17. aug 2016
 Bjerke-Travbane;Torsdag, 11. aug 2016
 Bjerke-Travbane; Onsdag, 10. aug 2016
 Bjerke-Travbane;Torsdag, 4. aug 2016
 Bjerke-Travbane;Onsdag, 3. aug 2016
